model,model_label,selection_type,threshold,val_f1,val_recall,val_fpr
catboost_full,CatBoost Full-Data,fpr_cap_0.005,0.86,0.9848871894633001,0.9703232167094477,0.004826360704648663
catboost_full,CatBoost Full-Data,fpr_cap_0.010,0.69,0.9870948537336643,0.9747241078627001,0.009992760458943028
catboost_full,CatBoost Full-Data,fpr_cap_0.020,0.475,0.9889157088884702,0.978485252488019,0.019897768905074262
catboost_full,CatBoost Full-Data,fpr_cap_0.050,0.1975,0.9907844374431161,0.9827669002602053,0.04968957725467828
random_forest_8m,Random Forest 8M,fpr_cap_0.005,0.8375,0.9825409868985852,0.9657813173638276,0.0049141127174604565
random_forest_8m,Random Forest 8M,fpr_cap_0.010,0.74,0.9847073583586816,0.9700761629471222,0.009806287431717966
random_forest_8m,Random Forest 8M,fpr_cap_0.020,0.6175,0.9866799564953549,0.9741181662544474,0.019853892898668363
random_forest_8m,Random Forest 8M,fpr_cap_0.050,0.4175,0.9892813075822885,0.9798156844639535,0.04964570124827238
hist_gb_8m,HistGradientBoosting 8M,fpr_cap_0.005,0.7025,0.9845897821736371,0.9697494592370554,0.004990895728670776
hist_gb_8m,HistGradientBoosting 8M,fpr_cap_0.010,0.5275,0.986848173929502,0.9742367150138762,0.009674659412500274
hist_gb_8m,HistGradientBoosting 8M,fpr_cap_0.020,0.335,0.9885699658427436,0.9778031340402111,0.019623543865037403
hist_gb_8m,HistGradientBoosting 8M,fpr_cap_0.050,0.1475,0.9906858373017304,0.9825731008234045,0.04968957725467828
